,Global Speakers,Size,Status,Global Speakers Category
230,31136914.044585988,2,4,1
231,31136914.044585988,1,4,1
232,31136914.044585988,1,4,1
233,634930.0,2,0,0
234,541540.0,2,0,0
235,6741420.0,1,2,0
236,6741420.0,1,2,0
237,6741420.0,2,0,0
238,11340000.0,3,0,0
239,11340000.0,2,0,0
240,11340000.0,2,1,0
241,8680.0,0,3,0
242,700000.0,2,0,0
243,31136914.044585988,1,0,1
244,13386850.0,1,0,0
245,13386850.0,1,0,0
246,1100000.0,0,0,0
247,1160000.0,0,0,0
248,1020000.0,1,0,0
249,5632990.0,0,1,0
250,5632990.0,1,0,0
251,230509.0,0,0,0
252,9241369.0,1,0,0
253,9000400.0,2,0,0
254,9000400.0,0,2,0
255,9000400.0,1,2,0
256,31136914.044585988,0,2,1
257,31136914.044585988,0,0,1
258,70300.0,0,0,0
259,331000.0,0,2,0
260,1352120.0,1,2,0
261,8000.0,0,0,0
262,43000.0,0,0,0
263,43000.0,0,0,0
264,10630000.0,4,0,0
265,10630000.0,4,0,0
266,10630000.0,4,0,0
267,10630000.0,4,0,0
268,10630000.0,4,0,0
269,10630000.0,4,0,0
270,10630000.0,4,0,0
271,88000.0,0,0,0
272,108400.0,0,0,0
273,23069480.0,3,1,0
274,23069480.0,2,0,0
275,23069480.0,3,1,0
276,23069480.0,2,0,0
277,12486000.0,2,0,0
278,12486000.0,0,0,0
279,12486000.0,2,0,0
280,237080.0,0,0,0
281,237080.0,1,0,0
282,3843000.0,2,0,0
283,152000.0,0,0,0
284,31136914.044585988,2,4,1
285,31136914.044585988,2,4,1
286,1000000.0,2,0,0
287,1000000.0,2,0,0
288,1000000.0,2,0,0
289,17080000.0,3,0,0
290,17080000.0,2,0,0
291,17080000.0,3,0,0
292,17080000.0,2,0,0
293,17080000.0,4,0,0
294,1641670.0,0,0,0
295,1641670.0,1,0,0
296,1641670.0,1,0,0
297,2405260.0,2,0,0
298,64618100.0,2,0,1
299,64618100.0,2,0,1
300,64618100.0,3,0,1
301,64618100.0,2,0,1
302,64618100.0,1,0,1
303,31136914.044585988,0,0,1
